,name,doi,doi_link
272,AQUDAT,,
273,AQUDEX,,
274,AQUDIB,,
275,AQUDOH,,
276,ARADEE,,
277,ARAFEF,,
278,ARAFIJ,,
279,ARAFOP,,
280,ARAGOR,,
281,ARAHIM,,
282,ARAHIM01,,
283,ARAHIM02,,
284,ARINOF,,
285,ARINUL,,
286,AROFAP,,
287,AROFET,,
288,ARUCOH01,,
289,ARUCUN,,
290,ARUDAU,,
291,ARUJED,,
292,ARUYES,,
293,ARUYOB,,
294,ARUYUH,,
295,ARUYUH01,,
296,ASACON,,
297,ASADAA,,
298,ASAHEJ,,
299,ASAJOU,,
300,ASALAH,,
301,ASALIP,,
302,ASALOV,,
303,ASAMUE,,
304,ASECUY,,
305,ASEJOZ,,
306,ASEJOZ01,,
307,ASINAT,,
308,ASINEX,,
309,ASINIB,,
310,ASIQEA,,
311,ASIQIE,,
312,ASIRUR,,
313,ASIVAB,,
314,ASOHUL,,
315,ASOSUY,,
316,ASOVEL,,
317,ASOYOY,,
318,ASUBIB,,
319,ASUJIJ,,
320,ASUKEE,,
321,ASUKEE01,,
322,ASUWUI,,
323,ATAFIK,,
324,ATAYAX,,
325,ATAYEB,,
326,ATEXII,,
327,ATEYED,,
328,ATEYOP,,
329,ATEYUV,,
330,ATEZAC,,
331,ATIBAG,,
332,ATIBIO,,
333,ATIBOU,,
334,ATIBOU01,,
335,ATIBOU02,,
336,ATIBUA,,
337,ATICAH,,
338,ATICEL,,
339,ATIJUJ_manual,,
340,ATIRUS,,
341,ATIXAE,,
342,ATIXUX,,
343,ATOGEV,,
344,ATOWIQ,,
345,ATOWOW,,
346,ATULIM,,
347,ATUXIY,,
348,ATUXOE,,
349,ATUXUK,,
350,ATUYAR,,
351,AVAGIP,,
352,AVAGOV,,
353,AVAGUB,,
354,AVAJUE,,
355,AVAKAL,,
356,AVAKEP,,
357,AVALEO,,
358,AVAQIX,,
359,AVAQIX01,,
360,AVEHAM,,
361,AVELOD,,
362,AVELUJ,,
363,AVEMAQ,,
364,AVEQID,,
365,AVESAW,,
366,AVESOL,,
367,AVESUR,,
368,AVETEC,,
369,AVEVEE,,
370,AVIHIY,,
371,AVIHOE,,
372,AVILEY,,
373,AVIMIC,,
374,AVIMOI,,
375,AVIMUO,,
376,AVIPAX,,
377,AVIPOL,,
378,AVITUU,,
379,AVIVAC,,
380,AVIVEG,,
381,AVIVIK,,
382,AVIVOQ,,
383,AVIVUW,,
384,AVOSIO_charged,,
385,AVUCEA,,
386,AVUDAX,,
387,AVUJIL,,
388,AVUPIR_SL,,
389,AWAGEL,,
390,AWAGOV,,
391,AWAHAI,,
392,AWAHEM,,
393,AWAJIT,,
394,AWAKEQ,,
395,AWAREV,,
396,AWARIZ,,
397,AWASAU,,
398,AWASEY,,
399,AWASOI,,
400,AWAWUR,,
401,AWEBIO_charged,,
402,AWEDOW_charged,,
403,AWEDUC_charged,,
404,AWEGEP,,
405,AWEJIW,,
406,AWEVIJ,,
407,AWEZOS,,
408,AWEZOS01,,
409,AWIBAK,,
410,AWIBAL,,
411,AWIBEO,,
412,AWIBIS,,
413,AWOFOI,,
414,AWUPAL,,
415,AXAFAG,,
416,AXAQAT,,
417,AXAWUT,,
418,AXIMUP,,
419,AXINAX01,,
420,AXINEA,,
421,AXINIF,,
422,AXIPEE,,
423,AXIPEE01,,
424,AXIPEE02,,
425,AXIPEE03,,
426,AXOCAT,,
427,AXOHIE,,
428,AXUBAW_manual,,
429,AXUBOL,,
430,AXUDII04,,
431,AXUHAD,,
432,AXUHEH,,
433,AXUHIL,,
434,AXUPEO,,
435,AYAWEE,,
436,AYOQEM,,
437,AYOXUJ,,
438,AYOYEU,,
439,AYOYOE,,
440,AYUJIP,,
441,AYUPOZ,,
442,AYUWUM,,
443,AZAFIS,,
444,AZAVOO,,
445,AZAVUU,,
446,AZAWAB,,
447,AZAWAZ,,
448,AZEBUE,,
449,AZEWEH,,
450,AZILEA,,
451,AZILEC,,
452,AZIMIH,,
453,AZIVAI,,
454,AZIXUD,,
455,AZOBUN,,
456,BACGAQ,,
457,BACMOH,,
458,BACMOH10,,
459,BADHIA,,
460,BADHOG,,
461,BADHUM,,
462,BADHUM01,,
463,BADJAU,,
464,BADYAJ,,
465,BAEDTA01,,
466,BAFCAP,,
467,BAFHAU,,
468,BAFKUR,,
469,BAHGUN,,
470,BAHGUN01,,
471,BAHGUN02,,
472,BAHGUN03,,
473,BAHGUN04,,
474,BAKFAV,,
475,BAKGAX,,
476,BAKGIF_manual,,
477,BAKJEE,,
478,BAKJII,,
479,BAKJOO,,
480,BAKLIK,,
481,BAKYOE,,
482,BALMUW,,
483,BALMUW01,,
484,BALPAH,,
485,BALPIP,,
486,BAMKIM,,
487,BAMKOS,,
488,BANMAG,,
489,BAPDAA,,
490,BAQWEY,,
491,BAQWIC,,
492,BAQWOI,,
493,BARZAW,,
494,BARZIE,,
495,BARZOK,,
496,BARZOL_charged,,
497,BARZUR,,
498,BASJUB,,
499,BASSOF,,
500,BASSUL,,
501,BASTAS,,
502,BASTEW,,
503,BASTIA,,
504,BASTUM,,
505,BAWROI,,
506,BAWRUO,,
507,BAXFIR01,,
508,BAXFIR02,,
509,BAXFUD,,
510,BAXGAK,,
511,BAXLOD,,
512,BAXREY,,
513,BAXSIE,,
514,BAZDAJ,,
515,BAZFUF,,
516,BAZFUF01,,
517,BAZGAM,,
518,BAZGEQ,,
519,BAZJET,,
520,BAZJIX,,
521,BEDYEQ,,
522,BEFGEA_manual,,
523,BEFKUU,,
524,BEFLAB01,,
525,BEFLEF,,
526,BEFLIJ,,
527,BEFLUV,,
528,BEFMAC,,
529,BEFMOQ,,
530,BEFMUW,,
531,BEFNAD,,
532,BEFNEH,,
533,BEFNIL,,
534,BEFNUX,,
535,BEFPAF,,
536,BEGBOG,,
537,BEJZAS,,
538,BEKSAM,,
539,BEKYOG,,
540,BEKYUM,,
541,BEKZEX,,
542,BEKZEX01,,
543,BELJIL,,
544,BELTOD,,
545,BELTUJ,,
546,BELVEV_charged,,
547,BELYIC,,
548,BENXUP,,
549,BENZOL,,
550,BENZUR,,
551,BEPBAB,,
552,BEPLUF,,
553,BEPMAM,,
554,BEPMIU,,
555,BEPNER,,
556,BEPNIV,,
557,BEPNOB,,
558,BEPNUH,,
559,BEPPAP,,
560,BEPPIX,,
561,BEPPOD,,
562,BEPREV,,
